Topic,Words,Frequency,Timestamp
29,"soc, table, controller, fuzzy, look",1,1997
-1,"consumers, sum, welfare, utility, producers",1,2002
2,"contracts, programming, ieee, computation, identifies",4,2002
-1,"bp, sc, least square, 12 12, propagation",2,2003
0,"protegida, vantagem, gt, cerrado, lt",2,2003
-1,"pi controller, simulation show, induction motor, validity, properly",1,2004
0,"humidity, farms, substrates, re, fungal",8,2004
2,"allocation, simulator, two main, easiness, engineers",1,2004
0,"lateral, situações, raiz, 001, rms",1,2005
2,"coefficient, different methods, graphic, noticeable, impacted",1,2005
-1,"correção, 1999, 2003, 68, 1992",3,2006
1,"resonance, interpreted, data analysis, ray diffraction, diffraction",3,2006
3,"null, acceleration, coefficients, quantum, time dependent",5,2006
4,"boxes, capabilities, adaptation, top, networks",1,2006
-1,"electrodes, sulfide, reservoirs, river, chamber",6,2007
0,"portadores, arterial, pacientes, grupo, activity 21",4,2007
1,"theoretical model, revealing, particle size, ray diffraction, optical",2,2007
2,"buses, discussions, regulatory, channel, system work",3,2007
6,"examples, small number, measures, form, rule",1,2007
-1,"phases, bandwidth, prototype, parasites, dependence",10,2008
0,"genome, µg ml, segment, consistently, lower obtained",7,2008
1,"solution, absence presence, engineers, monophosphate, phosphate",3,2008
3,"2d, contributions, regime, force, appropriated",3,2008
5,"cheaper, power converters, converter, excited, mathematical model",1,2008
6,"grids, hinders, scavenging, classic, service",1,2008
17,"igg, antigen, igm, reverse, showed high",2,2008
-1,"parasites, host, trees, due different, manipulation",6,2009
0,"cm2, prevalência, anti, eggs, futuros",14,2009
1,"polymer, release, polymers, low levels, best fit",2,2009
6,"temporary, concern, happens, presents method, often",1,2009
12,"pressure, ms, glucose, adolescents, obesity",1,2009
13,"brain, acute effects, dab, aim determine, slides",1,2009
24,"vascular, ratios, hypertension, disease, 65 years",2,2009
26,"generator, converter topology, operating generator, exert, reluctance motor",1,2009
-1,"sulfato, contents, máxima, dietary, cluster",12,2010
0,"genome, microsatellite, gram, pacientes, frequent",17,2010
1,"ºc, compound, leukemia, dna, spectroscopic",2,2010
2,"conformal, operator, meta, evolutionary, multi",2,2010
3,"anisotropy, notable, dimensional, symmetry, bond",1,2010
6,"entities, extraction, good quality, simpler, linguistic",1,2010
7,"formula, stratification, ga, notation, xlink",1,2010
9,"die, functional properties, trypsin, amylase, ws",2,2010
10,"restraining, explicit, force, finite element, achieve better",2,2010
12,"obesity, administered, mice, medications, due increasing",1,2010
27,"μm, electrodes, micro, reproduced, fabrication",1,2010
-1,"cells, phosphorylation, vitro, teacher, stem",20,2011
0,"author, vectors, tested, 2011, integrated",16,2011
1,"tc, magnetization, exert, fluctuations, 800",1,2011
2,"circuit, circuits, acceptable, et al, topology",1,2011
3,"nf, correction, dc, double, electronic",3,2011
5,"machines, switched reluctance, reluctance, switched, comparative",2,2011
6,"temporary, concern, grid, happens, presents method",1,2011
8,"pv, hybrid, different combinations, differs, araguaia",1,2011
9,"sertaneja, grains, cultivars, rotational design, influence temperature",1,2011
13,"horn, dependent, capsaicin, upregulated, stimulus",2,2011
14,"fiber, resin, manufactured, composites, fibers",2,2011
15,"data set, points, captured, coordinates, frame",1,2011
20,"users, interactions, data mining, mining, behavioral",4,2011
-1,"seeds, community, protein, 100, acid",26,2012
0,"effluent, cod, matéria, laccase, powder",30,2012
1,"limonene, peroxide, oxidation, hydrogen peroxide, acid",6,2012
2,"calibration, objectives, subgroup, traditional techniques, order improve",1,2012
5,"magnetization, angle, strategy, step, output",2,2012
7,"obtained data, squared, purpose present, stratification, designs",1,2012
8,"country, integration, source, managing, article describes",1,2012
10,"slabs, pilares, constante, concreto, concrete",1,2012
14,"glass, semi empirical, hole, stress, pt",2,2012
15,"river, sensor, remote sensing, aquaculture, visualization",1,2012
-1,"cg, grupo, possuem, sign, estudadas",34,2013
0,"sao, sequences, mj, species, insect",37,2013
1,"notation, tumor, formula, rm, treat",13,2013
2,"demonstrada, emissão, níquel, modelo matemático, principais conceitos",1,2013
3,"exchange, equation, foreign, good quality, abstraction",2,2013
4,"sharing, communication, smart, spaces, move",2,2013
6,"specification, cloud, resources, great deal, provider",1,2013
9,"grains, wheat, min, bean, vibração",6,2013
10,"concreto, barra, aço, aderência, beam",2,2013
13,"real time, cells, antioxidant capacity, diabetes, 202",2,2013
14,"hole, reinforced, fibers, provide better, strength",1,2013
23,"biodiesel, diesel, fuels, esters, residual",6,2013
25,"females, treatments, immersed, t2, t1",2,2013
29,"provides better, order verify, deterministic, employing, heuristic",1,2013
-1,"schools, mg kg, kg, escolas, computers",38,2014
0,"insect, activities, anti, activity, biology",37,2014
1,"poluente, lâmpada, fe, agente, µm",5,2014
2,"curva, optimization techniques, real, spectrum, algoritmo",6,2014
3,"comparison obtained, systems studied, approximation, co2, dioxide",1,2014
4,"connectivity, disruptions, delay, entities, route",3,2014
5,"lastly, potentialities, typically found, clarify, realized",2,2014
6,"languages, cloud, resources, empirical, abstraction",2,2014
7,"lime, maize, attributes, root, mm",2,2014
10,"pilares, necessity, strengthening, reinforcement, concrete",1,2014
11,"biogas, biomass, wastewater, industrial, nine",2,2014
12,"adulthood, hr, rats, recovery, map",1,2014
13,"jats, sup, trans, rich, pc",6,2014
14,"orientation, listed, fabric, different ways, holes",1,2014
17,"manifestation, fragment, lesions, restriction, mouse",2,2014
21,"power system, oscillation, damping, controller proposal, optimization algorithm",1,2014
22,"meta, bag, jats title, title, representation",2,2014
25,"ng ml, ng, fish, t2, t1",4,2014
27,"electromagnetic, completo, devices, pdf, documento",4,2014
30,"genotype, bean, storage, different intensities, genotypes",1,2014
-1,"fluid, shell, documents, culture, seeds",47,2015
0,"patients, training, insect, group, 2010",55,2015
1,"pls, amylase, mineralization, reaction, ts",7,2015
2,"noise, bands, spectrum, ga, scene",7,2015
3,"crystal, entropic, states, moment, shunt",6,2015
4,"sensing, user, services, mobile, apc",3,2015
5,"machines, generators, induction, generator, converter",2,2015
6,"datasets, pairs, stage, knn, effectively",3,2015
7,"compaction, soil, two layers, traditional methods, stratified",5,2015
8,"verification, solar, market, electricity, feasible",3,2015
9,"atcc, chip, effluent, lower obtained, potato",2,2015
11,"economic feasibility, feasibility, power generation, carbon, economic",4,2015
12,"obesity, hypertension, hs, ms, comet assay",3,2015
13,"pc, trans, fat, rich, incorporation",6,2015
14,"aging, composite, hole, mechanical, fiber",4,2015
15,"sub sub, sub, code, protection, stream",1,2015
16,"bees, crops, biological diversity, service, prices",6,2015
17,"igg, parasite, congenital, serum, humans",6,2015
18,"complexity, appreciation, chinese, article proposes, relate",1,2015
19,"practice, mixed, article deals, performer, proposes use",1,2015
20,"digitais rede, abstrata, propõe, meios comunicação, funcionalidades",1,2015
25,"t3, light, t2, t1, tubular",2,2015
27,"conductivity, fabrication, devices, thoroughly, chips",2,2015
28,"led, light emitting, fem, dissipation, emitting",1,2015
30,"tomato, fruits, genotypes, meets, cluster analysis",2,2015
-1,"principal components, pca, vazios, evento, components",54,2016
0,"forest, política, goiás, ocorrência, resumo",80,2016
1,"mineralization, sequencing, evolution, sup, gel",7,2016
2,"evolutionary, spectrum, metrics, pareto, optimal",5,2016
3,"surfaces, parallel, plane, prescribed, electronics",6,2016
4,"links, cc, metodo, cooperative, expanded",2,2016
5,"generator, switched reluctance, reluctance, mathematical modeling, switched",6,2016
6,"boosting, datasets, task, forests, blocks",2,2016
7,"soil, stratified, compaction, layers, electrical",5,2016
8,"verification, stochastic, families, measurement, saving",2,2016
9,"cultivar, late, 109, lowland, efficient control",1,2016
10,"beam, flexão, steel, shaped, structural elements",5,2016
11,"stochastic, project, random, electricity, fits",3,2016
12,"ulcers, healing, cg, cru, electronic devices",1,2016
13,"critical role, organs, periodicals inc, wiley periodicals, periodicals",2,2016
14,"sintético, fortemente, sintéticos, compósito, reforçados",1,2016
16,"pollinators, flower, pollinator, flowers, bees",1,2016
17,"parasite, exercises, infected, consequences, host",2,2016
18,"complexity, chinese, discrete, different contexts, event",2,2016
21,"damping, oscillation, power system, small signal, controllers",4,2016
22,"sentiment, bag, messages, representation, text classification",1,2016
25,"transportation, diet, 150, treatments, recommend",4,2016
27,"assisted, ionization, mass spectrometry, 3d, spectrometry",2,2016
28,"solar radiation, apparatus, specially, order analyze, presents development",3,2016
29,"motor, controllers, speed, adjusting, presents experimental",2,2016
-1,"mo, h_, mi, mn, x0d",64,2017
0,"lt, área, 25, arte, gt",91,2017
1,"sub, sub sub, complexes, sa, tumor",12,2017
2,"deterministic, heuristic, circuit, analysis experimental, optimization method",7,2017
3,"mi, mo, lineares, math, mrow",2,2017
4,"mml, mi, mo, mrow, id",1,2017
5,"generator, reluctance, excitation, rotor, switched reluctance",7,2017
6,"rf, boosting, work brings, stack, trees",1,2017
7,"stratified, soil, clay, region interest, season",6,2017
8,"year, connected grid, bat, kw, ton",1,2017
10,"concrete, sulfide, dam, dams, opening",3,2017
11,"biogas, feasibility, electricity, economic feasibility, ethanol",3,2017
12,"x0d, ms, values found, voluntários, anápolis",3,2017
15,"elevation, frequencies, systems presents, mask, distributions",1,2017
18,"passive, configuration, method calculating, discrete, simulating",2,2017
21,"loop, frequency, entitled, abnormal, filters",1,2017
22,"etc, sections, clearly, section, included",3,2017
26,"dc, order minimize, converter, tracking, photovoltaic panels",2,2017
28,"panels, photovoltaic panels, cooling, photovoltaic, panel",3,2017
29,"predictive, controller, dc, controllers, control",5,2017
30,"fruits, tomatoes, tomato, pulp, squared",3,2017
-1,"additives, foods, óleo, sodium, targets",75,2018
0,"la, del, en, urbana, urban",87,2018
1,"99, compounds, removal, uv, acetate",13,2018
2,"esferas, erros, genetic algorithm, validando, tridimensionais",6,2018
3,"transition, regimes, velocity, molecular dynamics, dimensional",5,2018
4,"diverse, internet, movement, microsoft, rgb",2,2018
5,"analyze influence, tension, influence surface, generator, electric generation",1,2018
6,"alignment, embedding, enrich, task, entities",3,2018
7,"curve, recognition, loading, soil, soils",2,2018
8,"housing, equipment, evaluates, photovoltaic, house",1,2018
9,"ee2, enzymes, pd, laccase, able degrade",2,2018
10,"instability, normativas, concrete, concreto, lateral",3,2018
11,"sugarcane, biogas, electricity, economic viability, investment risk",5,2018
12,"mml, mrow, math, mn, mi",2,2018
15,"coordinates, 3000, pixel, questions, uniformly distributed",1,2018
16,"bees, flowers, promising especially, consequent, two experiments",2,2018
18,"system performance, method obtained, appropriated, relate, proposes methodology",1,2018
19,"itumbiara go, itumbiara, música, cidade itumbiara, perspectiva teórica",2,2018
21,"power flow, controllers, unified, bat, analyzed addition",1,2018
22,"meta, features, baselines, feature, bag",3,2018
24,"high risk, pc, cancer, two independent, ii iii",2,2018
26,"conduction, correction, mode, power factor, converters",2,2018
28,"panels, plane, axis, presents development, photovoltaic panels",3,2018
30,"cultivars, color, tss, colorimetric, tomatoes",1,2018
-1,"sub, bioinformatics, cgp, platform, systems",80,2019
0,"pibid, realizada, positive, brasil, produção",96,2019
1,"ac, metal, adsorption, coordination, langmuir",13,2019
2,"sum, genetic algorithm, optimization, algorithm, generators",3,2019
3,"surfaces, molecular dynamics, dynamics, examples, planar",7,2019
4,"networks, abnormal, intrusion, traffic, technologies",3,2019
5,"machine, drive, computational, platform, graphical interface",2,2019
6,"fs, gram, risk, effectiveness, graph",4,2019
7,"loading, behaviour, soils, parameters related, macropores",2,2019
8,"brazil order, optimizations, research development, different regions, creates",1,2019
9,"tf, beans, radical, soybeans, soy",5,2019
10,"dam, cross section, section, concrete, algorithm ga",1,2019
11,"mj, emissions, biochar, portion, returning",1,2019
13,"nmr, lipid, pca, alzheimer, nmr spectroscopy",1,2019
14,"laminates, hole, fibers, uniaxial, glass",2,2019
15,"polar, satellites, index, satélites, espacial",2,2019
16,"bees, fruit production, cone, species present, managed",1,2019
17,"mice, il, igg, modulate, patients",2,2019
18,"metric, complexity, analysis methodology, discrete, evaluates",2,2019
19,"comprender, tres, desarrollo, los, fue",2,2019
20,"functionalities, practices, mobilization, pointing, actions",1,2019
21,"sep, damping, potência, oscillations, start",1,2019
22,"meta, text classification, document, baselines, words",2,2019
26,"dc, converter, conduction, semiconductors, converters",2,2019
30,"fruits, tomatoes, tomato, acidity, cultivars",2,2019
-1,"la, gt, amp, lt, professores",115,2020
0,"educação, anos, objetivo, social, presente",159,2020
1,"tumor, surface, noninvasive, infrared, ac",11,2020
2,"elétricas, literature review, major challenge, computational modeling, ieee std",4,2020
3,"temperaturas, planar, ligações, moléculas, parrinello",6,2020
4,"fio, sensores, protocolo, rede, dispositivos",5,2020
5,"converter, generator, topologies, reluctance, machines",7,2020
6,"cloud, nuvens, options, nuvem, providers",3,2020
7,"two methods, uruaçu go, possible verify, acts, infer",1,2020
8,"solar, business, photovoltaic, energy, acquisition",7,2020
9,"seedlings, beans, functional properties, substrates, hardness",5,2020
10,"geometries, reinforced, concrete, method obtained, loads",1,2020
11,"cane, biogas, sugarcane, ash, ethanol",3,2020
12,"trial, m2, severely, clinical trial, obesity",4,2020
14,"fibre, oh, composites, analysed, scanning calorimetry",4,2020
15,"superfície, satellites, vegetation, 2013 2015, monitoring",6,2020
16,"colonies, inflow, bees, colony, bee",2,2020
17,"aging, brought, consistently, elderly, macrophages",2,2020
19,"musical, disciplinas, alunos professores, chave educação, caracterizam",2,2020
20,"indicador, páginas, funcionalidades, ocorrências, pierre bourdieu",1,2020
21,"feedback, controller, damping, power system, small signal",2,2020
22,"master, documents, steps, pre, classification",2,2020
23,"petroleum, nmr, biodiesel, spectrometry, component analysis",4,2020
25,"angiogenesis, embryotoxicity, chorioallantoic, evaluated parameters, chorioallantoic membrane",2,2020
26,"dc, evidences, converters, disturbances, several studies",1,2020
27,"devices, soft, poly, spot, protocol",2,2020
30,"tomato, fruits, maturation, color, fruit",2,2020
-1,"aprendizagem, curso, social, energy, 15",127,2021
0,"brasil, objetivo, 2018, educação, anos",178,2021
1,"ph, adsorption, removal, spectroscopy, carbon",20,2021
2,"sets, algorithm, bus, renewable, sources",8,2021
3,"eletrônica, conjuntos, altamente, vantagem, fornecidos",1,2021
4,"5g, localização, redes, transmissão, precisão",4,2021
5,"generator, reluctance, switched reluctance, switched, converter",5,2021
6,"cost, magnet, high computational, classifiers, cloud",4,2021
7,"soil, layers, macropores, pore, attributes",3,2021
8,"energy efficiency, energy, project, photovoltaic, projects",6,2021
9,"ros, grains, bean, 10 20, oxidative",2,2021
10,"steel, mm, mild, opposing, von",2,2021
11,"viability, univariate, attractiveness, plant, waste",2,2021
12,"dr, neurons, apoptotic, retinal, ms",2,2021
15,"mapas, validação, automatizar, necessárias, informações",2,2021
16,"ecossistêmicos, serviços ecossistêmicos, agricultura, vegetação nativa, aumento expressivo",3,2021
18,"inclination, literature work, maximum value, outputs, segment",3,2021
19,"música, intelectuais, auxiliar melhoria, deficientes, beneficia",4,2021
20,"bourdieu, capture, twitter, mobilization, practices",3,2021
21,"small signal, infinite, stability, damping, oscillations",4,2021
23,"biodiesel, contamination, organic acids, engines, lead formation",2,2021
26,"dc, converter, dc converter, controller, semiconductors",2,2021
28,"wind, method perform, different configurations, exerts, pressures",1,2021
-1,"professores, pesquisa, ensino, curso, educação",123,2022
0,"covid 19, covid, 19, análise, saúde",162,2022
1,"zebrafish, co, ni, 01, adsorption",4,2022
2,"buses, algorithm, ieee, genetic algorithm, power",4,2022
3,"hr, parameter, surfaces, 1d, rotation",3,2022
4,"band, 5g, communication, scheduling, baselines",7,2022
6,"smooth, risk, empresas, difficult, architecture",2,2022
7,"soils, soil, silo, conductivity, decision",7,2022
8,"photovoltaic, grid, photovoltaic system, connected, energy",5,2022
9,"hardening, fractions, beans, ingredients, peptide",1,2022
10,"bi, wt, si, perimeter, al",2,2022
11,"ash, co, availability, soybeans, chicken",2,2022
12,"obesidade, obesity, sobrepeso, doença, diagnostic",6,2022
14,"composites, fibers, manufactured, mechanical, mpa",2,2022
15,"terrestre, pec, terra, inferiores, 000",2,2022
18,"máquina, elétrica, corte, conduzidos, sugerida",1,2022
20,"redes sociais, inteligência artificial, redes, inteligência, mobilization",4,2022
21,"controllers, damping, pi, oscillation, power system",1,2022
23,"fuels, petroleum, undergraduate students, destined, main aim",1,2022
24,"cancer, sus, age group, 2021, age",3,2022
26,"converters, dc, output, semiconductors, designed",1,2022
29,"predictive, nonlinear, sliding, fuzzy, similar conditions",1,2022
-1,"ensino, educação, aprendizagem, formação, factors",153,2023
0,"educação, objetivo, pesquisa, análise, civil",163,2023
1,"ir, mb, breast, tumor, c2",6,2023
2,"neutral, bus, network, passive filters, allocation",5,2023
3,"complexes, forces, stable, van, dominated",1,2023
4,"security, architecture, communication, safety, cooperative",9,2023
6,"modelos, tarefa, intent, agregação, federated",5,2023
8,"solar, viability, energy, power plant, project",6,2023
10,"slabs, reinforcement, connection, flat, connections",2,2023
12,"instrument, development evaluations, databases pubmed, dissemination ethical, measures quantified",1,2023
13,"conserved, responses, regulation, binding, prostate",4,2023
14,"prova, author, corpos prova, compósitos, reforçados",2,2023
18,"calculation, carga, simulating, metric, stay",3,2023
19,"instrument, musical, bands, schools, commission",4,2023
20,"experience, subjective, user, thoroughly, shed",1,2023
22,"noise, sentiment, affective, document, embedding",1,2023
23,"chemometrics, nmr, ethanol, compositional, marketed",1,2023
24,"sus, breast, cancer, screening, breast cancer",5,2023
26,"compensation, dc, voltage, impose, fluctuations",2,2023
29,"delay, speed, sliding, computational simulations, simulations carried",1,2023
-1,"teste, slope, velocities, estimates, flow",15,2024
0,"motivação, intensive, gram, li, pandemic",11,2024
1,"spin, exhibiting, ferro, ni, weak",1,2024
8,"emissions, hydrogen, portion, compared conventional, coming",1,2024
14,"laminados, compósito, compósitos, corpos prova, mecânicas",1,2024
16,"radius, bees, summer, day, colony",1,2024
24,"artificial intelligence, intelligence, cancer, skin, two independent",2,2024
27,"manufacturing, inexpensive, explored, laser, platform",2,2024
