topico,rank,palavra,score
0,1,objetivo,0.1677
0,2,análise,0.1643
0,3,goiás,0.1618
0,4,educação,0.1609
0,5,pesquisa,0.16
0,6,brasil,0.1586
0,7,meio,0.1562
0,8,artigo,0.1519
0,9,presente,0.1514
0,10,ensino,0.1508
1,1,tumor,0.2877
1,2,adsorption,0.2762
1,3,magnetic,0.2744
1,4,spectroscopy,0.2733
1,5,ph,0.2713
1,6,surface,0.2629
1,7,reaction,0.2629
1,8,uv,0.262
1,9,removal,0.2532
1,10,containing,0.2523
2,1,algorithm,0.3614
2,2,genetic algorithm,0.3187
2,3,bus,0.3097
2,4,genetic,0.308
2,5,distribution,0.306
2,6,network,0.3031
2,7,allocation,0.2938
2,8,ieee,0.2938
2,9,optimization,0.2922
2,10,generation,0.2856
3,1,surfaces,0.4992
3,2,dimensional,0.362
3,3,transition,0.3541
3,4,molecular,0.331
3,5,agreement,0.3161
3,6,dynamics,0.3145
3,7,molecular dynamics,0.3119
3,8,planar,0.3033
3,9,examples,0.3019
3,10,calculations,0.2994
4,1,mml,0.5619
4,2,communication,0.4233
4,3,cooperative,0.4082
4,4,mi,0.4021
4,5,networks,0.3829
4,6,connectivity,0.3572
4,7,network,0.3486
4,8,5g,0.3436
4,9,mobile,0.3366
4,10,mo,0.3363
5,1,generator,0.597
5,2,reluctance,0.5823
5,3,switched reluctance,0.5631
5,4,switched,0.5572
5,5,machines,0.527
5,6,converter,0.4986
5,7,half bridge,0.3859
5,8,induction,0.377
5,9,topologies,0.3757
5,10,machine,0.373
6,1,cloud,0.416
6,2,datasets,0.3797
6,3,resources,0.3621
6,4,task,0.3471
6,5,effectiveness,0.3196
6,6,resource,0.3151
6,7,effort,0.3103
6,8,tasks,0.3053
6,9,service,0.3012
6,10,learning,0.301
7,1,soil,0.5733
7,2,soils,0.4165
7,3,compaction,0.4132
7,4,layers,0.4085
7,5,stratified,0.3732
7,6,layer,0.3386
7,7,stratification,0.3381
7,8,silo,0.3381
7,9,conductivity,0.333
7,10,clay,0.3296
8,1,solar,0.4956
8,2,energy,0.4734
8,3,photovoltaic,0.4641
8,4,generation,0.4016
8,5,energy efficiency,0.3635
8,6,pv,0.3563
8,7,project,0.3545
8,8,electricity,0.3494
8,9,projects,0.3291
8,10,demand,0.3238
9,1,beans,0.3774
9,2,grains,0.3557
9,3,bean,0.3531
9,4,tf,0.3186
9,5,ee2,0.315
9,6,activity,0.3137
9,7,amylase,0.312
9,8,antioxidant,0.294
9,9,enzymes,0.2926
9,10,functional properties,0.2898
10,1,concrete,0.4791
10,2,bi,0.3949
10,3,beam,0.384
10,4,concreto,0.3705
10,5,slabs,0.3521
10,6,structures,0.3497
10,7,steel,0.3474
10,8,reinforcement,0.3363
10,9,instability,0.3254
10,10,section,0.3247
11,1,biogas,0.5769
11,2,economic feasibility,0.4921
11,3,feasibility,0.4867
11,4,electricity,0.4419
11,5,economic,0.4197
11,6,sugarcane,0.418
11,7,ethanol,0.3857
11,8,electricity generation,0.3842
11,9,produced,0.3785
11,10,risk analysis,0.3741
12,1,mml,0.5301
12,2,obesity,0.4536
12,3,ms,0.3688
12,4,obesidade,0.3574
12,5,mrow,0.3351
12,6,cardiovascular,0.3262
12,7,body,0.3239
12,8,individuals,0.3092
12,9,doença,0.3064
12,10,x0d,0.3035
13,1,jats,0.4817
13,2,trans,0.4731
13,3,pc,0.4731
13,4,rich,0.4391
13,5,fat,0.439
13,6,brain,0.4138
13,7,incorporation,0.4089
13,8,hydrogenated,0.404
13,9,soybean oil,0.404
13,10,supplemented,0.3994
14,1,hole,0.5236
14,2,composite,0.5202
14,3,composites,0.5195
14,4,fibers,0.5113
14,5,tensile,0.493
14,6,mechanical,0.4923
14,7,glass,0.4883
14,8,laminates,0.4856
14,9,fiber,0.4785
14,10,reinforced,0.4551
15,1,satellites,0.4168
15,2,polar,0.3974
15,3,satélites,0.3969
15,4,superfície,0.3842
15,5,satellite,0.377
15,6,vegetation,0.3763
15,7,index,0.3627
15,8,mapas,0.3611
15,9,monitoring,0.3364
15,10,2013 2015,0.3339
16,1,bees,0.7278
16,2,flower,0.4659
16,3,pollinators,0.4632
16,4,crops,0.4496
16,5,flowers,0.4353
16,6,bee,0.4288
16,7,tomato,0.4117
16,8,service,0.3998
16,9,biological diversity,0.3837
16,10,prices,0.3752
17,1,igg,0.5557
17,2,parasite,0.5189
17,3,mice,0.4737
17,4,congenital,0.4501
17,5,infected,0.4375
17,6,serum,0.4299
17,7,antibodies,0.4201
17,8,infection,0.4122
17,9,animals,0.4087
17,10,igm,0.4072
18,1,complexity,0.6528
18,2,metric,0.5605
18,3,connections,0.5248
18,4,proposes,0.5154
18,5,discrete,0.5056
18,6,simulating,0.4981
18,7,system,0.4886
18,8,work proposes,0.4859
18,9,calculation,0.4844
18,10,methodology,0.4647
19,1,musical,0.6709
19,2,música,0.6193
19,3,instrument,0.4701
19,4,bands,0.4525
19,5,itumbiara go,0.4491
19,6,schools,0.4463
19,7,intelectuais,0.434
19,8,commission,0.4058
19,9,military,0.4058
19,10,metodológicos,0.3981
20,1,interactions,0.5314
20,2,users,0.4898
20,3,bourdieu,0.4783
20,4,mobilization,0.4768
20,5,actions,0.4637
20,6,share,0.4607
20,7,pierre,0.4607
20,8,video,0.4539
20,9,social,0.4449
20,10,redes sociais,0.4419
21,1,damping,0.7153
21,2,oscillation,0.6327
21,3,power system,0.6132
21,4,small signal,0.5776
21,5,controllers,0.5607
21,6,modes,0.5265
21,7,power,0.5224
21,8,stability,0.5028
21,9,signal,0.5015
21,10,test system,0.4891
22,1,meta,0.6907
22,2,features,0.5822
22,3,representation,0.5723
22,4,document,0.5714
22,5,text classification,0.5369
22,6,bag,0.5282
22,7,baselines,0.5234
22,8,classification,0.5092
22,9,feature,0.5056
22,10,datasets,0.5056
23,1,biodiesel,0.73
23,2,petroleum,0.5786
23,3,fuels,0.5093
23,4,diesel,0.5011
23,5,esters,0.4937
23,6,oils,0.4644
23,7,nmr,0.4641
23,8,fuel,0.451
23,9,oil,0.4407
23,10,spectrometry,0.4208
24,1,cancer,0.5298
24,2,sus,0.5043
24,3,breast,0.4091
24,4,age,0.39
24,5,screening,0.3852
24,6,breast cancer,0.3769
24,7,001,0.374
24,8,two independent,0.364
24,9,diagnosis,0.3516
24,10,vascular,0.3488
25,1,t3,0.5497
25,2,treatments,0.5326
25,3,fish,0.5236
25,4,t2,0.5189
25,5,t1,0.5112
25,6,completely randomized,0.4714
25,7,ng ml,0.4494
25,8,light,0.4485
25,9,completely,0.4387
25,10,subjected,0.4368
26,1,dc,0.761
26,2,converter,0.6939
26,3,conduction,0.5909
26,4,switching,0.5873
26,5,converters,0.586
26,6,voltage,0.561
26,7,semiconductors,0.5267
26,8,mode,0.4924
26,9,correction,0.4832
26,10,sinusoidal,0.454
27,1,devices,0.9813
27,2,soft,0.616
27,3,fabrication,0.614
27,4,μm,0.6024
27,5,analytical,0.5751
27,6,successfully,0.5324
27,7,manufacturing,0.5307
27,8,poly,0.5307
27,9,spot,0.5157
27,10,inexpensive,0.5157
28,1,panels,0.6286
28,2,cooling,0.571
28,3,plane,0.5388
28,4,flow,0.5077
28,5,apparatus,0.497
28,6,photovoltaic panels,0.4963
28,7,presents development,0.4963
28,8,photovoltaic,0.4914
28,9,solar radiation,0.4602
28,10,front,0.46
29,1,motor,0.6243
29,2,speed,0.6172
29,3,controller,0.6095
29,4,predictive,0.6074
29,5,dc,0.5952
29,6,controllers,0.5667
29,7,control,0.5559
29,8,deterministic,0.5405
29,9,fuzzy,0.5185
29,10,optimization,0.5003
30,1,tomato,0.6286
30,2,fruits,0.6217
30,3,tomatoes,0.5214
30,4,cultivars,0.509
30,5,color,0.4699
30,6,genotypes,0.4553
30,7,processing,0.4315
30,8,fresh,0.4284
30,9,fruit,0.4222
30,10,choose,0.4137
